Timestamp,Device_Name,Event_Type,Severity,Duration_Minutes,Source_IP,Destination_IP,Port_Number,Protocol,Resolved
01/30/2024 19:40,Access_Point_Y,Connection Lost,MEDIUM,49.0,192.168.237.90,10.0.129.255,3609,TLS,Yes
2024-01-28 00:05:00,Srv C,DDoS Attack,med,144.0,192.168.108.250,10.0.247.134,6702,icmp,No
2024-01-26 02:00:00,Firewall X,Firmware Crash,moderate,145.0,192.168.58.30,10.0.162.128,3417,udp,Yes
2024-02-03 19:17:00,Srv C,Downtime,CRITICAL,26.0,192.168.19.164,10.0.238.93,7654,udp,No
2024-02-11 09:20:00,Switch-B,Downtime,low,49.0,192.168.55.219,10.0.83.88,7458,icmp,Yes
2024-01-19 05:41:00,Server_C,Hardware Failure,High,161.0,192.168.245.158,10.0.201.56,7744,UDP,No
2024-01-07 16:05:00,Server_C,Unauthorized Access,MEDIUM,26.0,192.168.155.197,10.0.146.235,6792,udp,No
2024-02-12 17:48:00,Switch-B,Firmware Crash,high,171.0,192.168.254.214,10.0.77.245,2078,ICMP,No
2024-02-05 20:56:00,Access_Point_Y,Unauthorized Access,moderate,20.0,192.168.27.200,10.0.36.108,6839,TLS,Yes
2024-02-02 10:57:00,Srv C,Firmware Crash,critical,68.0,192.168.85.46,10.0.27.79,3914,udp,No
2024-02-08 07:31:00,Load_Balancer_1,Unauthorized Access,med,22.0,192.168.116.77,10.0.144.165,2290,icmp,Yes
2024-02-17 22:50:00,Switch-B,Slow Network,moderate,97.0,192.168.43.154,10.0.84.48,960,DNS,No
2024-02-10 21:12:00,Router A,Packet Loss,CRITICAL,49.0,192.168.77.167,10.0.57.208,335,tcp,No
2024-01-25 19:08:00,Load_Balancer_1,Hardware Failure,med,174.0,192.168.9.73,10.0.217.240,2177,ICMP,Yes
2024-01-17 02:48:00,Srv C,Firmware Crash,moderate,32.0,192.168.75.79,10.0.61.119,5483,Tcp,No
2024-01-20 07:17:00,Load_Balancer_1,DDoS Attack,Severe,54.0,192.168.246.242,10.0.194.63,6023,icmp,No
2024-01-23 14:22:00,DB_Z,Connection Lost,moderate,75.0,192.168.17.75,10.0.16.180,2768,icmp,Yes
2024-01-07 06:14:00,Edge_Proxy,High Latency,critical,68.0,192.168.52.41,10.0.239.198,350,TLS,Yes
2024-01-17 02:51:00,Access_Point_Y,Connection Lost,high,28.0,192.168.47.57,10.0.230.175,4576,QUIC,Yes
01/13/2024 14:29,Router A,DDoS Attack,low,,192.168.74.81,10.0.114.139,3516,tcp,No
2024-01-26 07:22:00,DB_Z,Hardware Failure,low,105.0,192.168.23.245,10.0.91.97,4246,ICMP,Yes
2024-02-15 15:24:00,Edge_Proxy,Packet Loss,LOW,48.0,192.168.216.201,10.0.240.134,2236,UDP,Yes
2024-01-10 21:54:00,Router A,Connection Lost,critical,,192.168.173.72,10.0.237.65,5048,tcp,No
2024-02-11 00:22:00,Load_Balancer_1,Connection Lost,moderate,97.0,192.168.246.244,10.0.33.110,2172,Tcp,Yes
2024-01-23 02:49:00,Srv C,Downtime,LOW,21.0,192.168.243.132,10.0.105.222,6440,DNS,Yes
2024-02-02 07:36:00,Switch-B,Connection Lost,low,40.0,192.168.212.51,10.0.222.250,2125,Tcp,Yes
2024-01-28 13:15:00,Srv C,Unauthorized Access,high,168.0,192.168.37.49,10.0.220.8,Unknown,TLS,Yes
2024-01-28 07:32:00,Router A,Hardware Failure,moderate,178.0,192.168.77.144,10.0.75.169,551,TLS,Yes
2024-02-10 06:34:00,Switch-B,DDoS Attack,critical,157.0,192.168.144.215,10.0.50.206,1309,Tcp,Yes
2024-01-11 14:57:00,Access_Point_Y,Hardware Failure,med,54.0,192.168.1.250,10.0.197.253,5577,Tcp,Yes
2024-02-05 14:07:00,Srv C,Connection Lost,CRITICAL,124.0,???.???.???.???,10.0.201.22,6534,DNS,Yes
2024-02-07 09:31:00,DB_Z,DDoS Attack,Severe,29.0,192.168.193.18,10.0.198.58,3487,Tcp,Yes
2024-01-30 05:40:00,Edge_Proxy,Hardware Failure,critical,44.0,192.168.164.119,10.0.79.193,7419,TLS,Yes
2024-02-07 16:16:00,Load_Balancer_1,Unauthorized Access,CRITICAL,46.0,192.168.36.224,10.0.228.206,1319,QUIC,Yes
2024-01-14 15:50:00,Firewall X,Slow Network,moderate,21.0,192.168.164.254,10.0.228.146,1916,DNS,Yes
2024-01-20 03:26:00,Firewall X,Slow Network,critical,136.0,192.168.141.27,10.0.164.252,2869,DNS,Yes
2024-02-11 05:20:00,Edge_Proxy,Connection Lost,MEDIUM,,192.168.171.2,10.0.111.104,6655,icmp,No
2024-01-03 09:36:00,Firewall X,High Latency,CRITICAL,159.0,192.168.96.42,10.0.178.238,799,QUIC,No
2024-01-07 18:13:00,Edge_Proxy,Unauthorized Access,high,104.0,192.168.147.102,10.0.202.231,5160,Tcp,Yes
2024-01-02 02:23:00,DB_Z,Packet Loss,critical,80.0,192.168.100.163,10.0.124.145,1556,DNS,Yes
2024-01-31 23:16:00,DB_Z,High Latency,critical,98.0,192.168.117.130,10.0.98.1,5458,DNS,No
01/27/2024 22:56,Firewall X,Slow Network,moderate,166.0,192.168.132.87,10.0.237.183,2230,QUIC,No
2024-02-16 02:48:00,Server_C,Downtime,LOW,176.0,192.168.100.23,10.0.200.163,3606,UDP,No
2024-02-07 10:01:00,Router A,Firmware Crash,LOW,59.0,192.168.129.153,10.0.153.71,671,icmp,No
2024-01-04 09:15:00,Edge_Proxy,Unauthorized Access,Severe,67.0,192.168.118.182,10.0.7.108,5423,QUIC,Yes
2024-01-11 17:56:00,Server_C,Unauthorized Access,moderate,10.0,192.168.185.232,10.0.195.232,6248,QUIC,No
2024-01-29 10:22:00,Server_C,Downtime,high,145.0,192.168.75.46,10.0.255.215,6141,DNS,No
2024-01-17 18:53:00,Load_Balancer_1,Connection Lost,LOW,21.0,192.168.254.191,10.0.35.114,6258,icmp,Yes
2024-01-24 09:35:00,Srv C,Slow Network,MEDIUM,79.0,192.168.159.198,10.0.139.31,54,UDP,Yes
2024-01-21 19:13:00,Srv C,Downtime,Severe,157.0,192.168.196.186,10.0.102.227,4633,tcp,No
02/06/2024 19:00,DB_Z,Firmware Crash,critical,120.0,192.168.243.126,10.0.58.138,1682,tcp,Yes
2024-01-08 06:40:00,Access_Point_Y,Slow Network,critical,98.0,192.168.36.106,10.0.125.138,3667,tcp,No
2024-01-02 09:31:00,Edge_Proxy,Connection Lost,high,61.0,192.168.222.220,10.0.153.203,2397,DNS,Yes
2024-01-29 08:44:00,Server_C,Downtime,High,114.0,192.168.233.209,10.0.105.152,277,tcp,No
2024-01-09 05:28:00,Edge_Proxy,DDoS Attack,LOW,,192.168.23.179,10.0.126.86,527,TLS,No
2024-02-10 18:00:00,Switch-B,Unauthorized Access,high,24.0,192.168.166.209,10.0.203.72,6183,icmp,Yes
2024-02-05 11:20:00,Server_C,Downtime,LOW,119.0,192.168.146.129,10.0.148.180,3847,DNS,Yes
02/11/2024 09:28,Srv C,Firmware Crash,High,40.0,192.168.50.148,10.0.203.149,5976,tcp,No
02/07/2024 09:07,Router A,Firmware Crash,Severe,,192.168.80.84,10.0.77.42,2180,QUIC,Yes
2024-01-11 06:45:00,Switch-B,High Latency,low,154.0,192.168.178.111,10.0.101.79,6476,TLS,Yes
2024-01-25 18:06:00,DB_Z,Downtime,MEDIUM,25.0,192.168.225.119,10.0.194.173,5243,icmp,Yes
01/06/2024 21:57,Router A,Slow Network,LOW,133.0,192.168.68.238,10.0.83.33,6038,Tcp,Yes
2024-01-06 06:38:00,Srv C,Slow Network,LOW,11.0,192.168.12.196,10.0.78.4,6657,DNS,Yes
01/12/2024 07:00,Switch-B,Downtime,high,93.0,192.168.255.192,10.0.196.198,7529,ICMP,Yes
2024-02-06 19:48:00,Edge_Proxy,Connection Lost,high,69.0,192.168.5.144,10.0.68.65,691,icmp,Yes
2024-01-21 20:07:00,Firewall X,Packet Loss,Severe,,192.168.137.206,10.0.51.62,4009,Tcp,No
2024-02-09 13:55:00,Switch-B,Downtime,high,30.0,192.168.210.191,10.0.198.173,4631,QUIC,Yes
2024-01-01 05:27:00,Router A,DDoS Attack,Severe,11.0,192.168.236.18,10.0.150.187,5217,udp,Yes
2024-02-11 05:51:00,Edge_Proxy,Firmware Crash,High,74.0,192.168.242.11,10.0.23.253,5739,DNS,No
2024-02-10 04:36:00,Edge_Proxy,Downtime,Severe,170.0,192.168.5.53,10.0.176.79,5147,icmp,No
2024-01-27 23:44:00,DB_Z,Downtime,critical,177.0,192.168.85.162,10.0.46.63,262,UDP,Yes
2024-01-15 16:03:00,Edge_Proxy,Downtime,high,160.0,192.168.181.52,10.0.231.252,3689,tcp,No
2024-02-15 07:29:00,Server_C,High Latency,CRITICAL,62.0,192.168.125.89,10.0.65.249,7750,tcp,Yes
2024-02-14 09:36:00,Firewall X,Slow Network,med,156.0,192.168.52.110,10.0.157.130,3301,Tcp,No
2024-01-15 03:20:00,Access_Point_Y,Downtime,High,138.0,192.168.249.156,10.0.211.28,7536,udp,No
2024-01-22 01:06:00,Srv C,Packet Loss,low,176.0,192.168.34.20,10.0.15.115,1478,tcp,No
2024-01-25 12:15:00,Access_Point_Y,Downtime,MEDIUM,102.0,192.168.218.118,10.0.130.129,6599,QUIC,No
02/14/2024 00:00,DB_Z,Downtime,Severe,,192.168.22.173,10.0.138.175,946,UDP,No
2024-02-14 18:23:00,Router A,Connection Lost,high,84.0,192.168.199.167,10.0.208.89,3553,tcp,No
2024-02-12 20:44:00,Router A,Packet Loss,High,89.0,192.168.166.74,10.0.172.78,5255,Tcp,No
2024-01-06 02:13:00,Router A,Slow Network,critical,53.0,192.168.113.188,10.0.40.49,4803,icmp,Yes
2024-01-18 03:06:00,Firewall X,Connection Lost,moderate,179.0,192.168.0.4,10.0.162.44,2550,udp,Yes
2024-02-03 21:30:00,Router A,High Latency,CRITICAL,43.0,192.168.71.151,10.0.137.177,4734,QUIC,No
2024-02-17 11:49:00,Server_C,High Latency,CRITICAL,96.0,192.168.7.0,10.0.107.121,5444,Tcp,No
2024-02-17 03:29:00,Edge_Proxy,Firmware Crash,High,136.0,192.168.215.35,10.0.56.40,1730,ICMP,Yes
2024-01-25 03:33:00,Router A,Slow Network,med,124.0,192.168.191.78,10.0.89.125,7565,udp,Yes
01/09/2024 18:17,Load_Balancer_1,Firmware Crash,moderate,180.0,192.168.179.201,10.0.200.161,6115,Tcp,No
2024-01-07 00:53:00,Edge_Proxy,Connection Lost,LOW,11.0,192.168.100.150,10.0.108.80,2287,icmp,Yes
2024-01-31 10:53:00,Edge_Proxy,Packet Loss,med,87.0,192.168.140.45,10.0.20.8,6085,UDP,Yes
2024-01-05 03:11:00,Server_C,Downtime,CRITICAL,17.0,192.168.46.48,10.0.194.41,5995,DNS,No
2024-01-26 23:38:00,Router A,Firmware Crash,CRITICAL,52.0,192.168.203.153,10.0.107.2,7411,UDP,Yes
2024-02-08 07:17:00,Access_Point_Y,Connection Lost,moderate,82.0,192.168.172.227,10.0.70.58,6097,DNS,Yes
2024-02-13 01:17:00,Firewall X,Slow Network,High,14.0,192.168.97.14,10.0.117.226,4383,QUIC,Yes
2024-02-04 16:54:00,Router A,DDoS Attack,critical,153.0,192.168.26.103,10.0.30.246,6197,QUIC,No
2024-02-17 07:14:00,Switch-B,Slow Network,CRITICAL,87.0,192.168.228.169,10.0.31.177,3183,DNS,Yes
2024-01-09 05:53:00,Load_Balancer_1,Slow Network,Severe,139.0,192.168.28.160,10.0.201.162,Unknown,ICMP,No
2024-02-07 05:34:00,Router A,Firmware Crash,MEDIUM,167.0,192.168.45.49,10.0.33.60,5220,DNS,No
2024-01-24 03:04:00,Router A,Slow Network,high,15.0,192.168.225.240,10.0.133.182,1281,ICMP,Yes
2024-02-07 04:11:00,Router A,DDoS Attack,high,113.0,192.168.188.166,10.0.18.191,3912,QUIC,Yes
2024-02-11 07:27:00,Srv C,Connection Lost,LOW,174.0,192.168.56.159,10.0.27.12,8049,Tcp,No
2024-01-04 14:50:00,Firewall X,DDoS Attack,MEDIUM,65.0,192.168.115.39,10.0.197.154,2633,UDP,No
2024-01-13 05:22:00,Router A,Packet Loss,High,60.0,???.???.???.???,10.0.19.18,978,Tcp,Yes
2024-02-01 13:44:00,Load_Balancer_1,Packet Loss,high,23.0,192.168.96.153,10.0.113.242,2910,ICMP,Yes
2024-01-23 01:30:00,Router A,Unauthorized Access,critical,26.0,192.168.147.185,10.0.49.88,4625,tcp,Yes
2024-02-09 01:44:00,Srv C,High Latency,med,163.0,192.168.220.248,10.0.50.139,4990,TLS,No
2024-02-08 08:48:00,DB_Z,DDoS Attack,critical,32.0,192.168.186.163,10.0.202.148,520,Tcp,Yes
01/05/2024 03:34,DB_Z,DDoS Attack,CRITICAL,46.0,192.168.24.123,10.0.26.225,4879,icmp,No
2024-01-22 04:17:00,Router A,Downtime,critical,174.0,192.168.167.35,10.0.83.101,4040,UDP,No
2024-02-01 14:02:00,Access_Point_Y,High Latency,moderate,20.0,192.168.242.73,10.0.48.221,3002,DNS,No
2024-01-18 09:59:00,Load_Balancer_1,Downtime,high,26.0,192.168.236.76,10.0.169.145,7721,udp,No
2024-02-12 21:05:00,Srv C,Packet Loss,High,165.0,192.168.57.167,10.0.72.139,3442,UDP,Yes
2024-01-24 14:06:00,Switch-B,Downtime,MEDIUM,71.0,192.168.65.226,10.0.18.32,3832,udp,Yes
2024-02-15 08:44:00,Access_Point_Y,Downtime,MEDIUM,22.0,192.168.98.122,10.0.153.91,5239,QUIC,Yes
2024-02-14 17:28:00,Router A,Connection Lost,MEDIUM,52.0,192.168.172.78,10.0.244.77,6445,UDP,Yes
2024-01-18 12:08:00,Srv C,Downtime,med,166.0,192.168.160.42,10.0.240.14,2477,UDP,Yes
01/13/2024 16:34,Router A,Firmware Crash,high,71.0,192.168.31.70,10.0.89.232,2706,TLS,Yes
2024-01-11 01:10:00,Edge_Proxy,Hardware Failure,MEDIUM,40.0,192.168.211.189,10.0.225.120,5190,TLS,No
2024-01-10 20:59:00,Srv C,Hardware Failure,moderate,170.0,192.168.163.12,10.0.160.229,4264,QUIC,Yes
2024-02-11 08:46:00,Srv C,DDoS Attack,low,167.0,192.168.86.95,10.0.157.160,5373,UDP,No
2024-01-30 08:06:00,Edge_Proxy,DDoS Attack,Severe,121.0,???.???.???.???,10.0.243.168,6033,udp,Yes
2024-02-11 02:50:00,Server_C,Hardware Failure,MEDIUM,58.0,192.168.36.0,10.0.152.111,1991,tcp,Yes
2024-01-03 00:29:00,Srv C,Firmware Crash,MEDIUM,29.0,192.168.231.31,10.0.246.156,7488,icmp,No
02/17/2024 21:10,Server_C,Slow Network,LOW,123.0,192.168.76.59,10.0.142.228,3511,ICMP,No
2024-01-09 17:56:00,DB_Z,Firmware Crash,med,164.0,192.168.67.157,10.0.8.225,Unknown,UDP,No
2024-01-11 07:35:00,DB_Z,Firmware Crash,low,95.0,192.168.76.193,10.0.20.170,4724,TLS,Yes
01/09/2024 22:35,DB_Z,Firmware Crash,high,154.0,192.168.80.82,10.0.211.46,7028,Tcp,No
02/04/2024 21:04,Firewall X,Firmware Crash,high,114.0,192.168.104.104,10.0.49.232,6995,Tcp,No
2024-01-29 11:04:00,Access_Point_Y,Unauthorized Access,moderate,161.0,192.168.64.106,10.0.132.47,1986,DNS,Yes
2024-01-04 21:40:00,Load_Balancer_1,High Latency,LOW,8.0,192.168.110.37,10.0.143.125,371,icmp,No
2024-01-12 16:53:00,Srv C,Unauthorized Access,low,164.0,192.168.7.164,10.0.142.10,5923,ICMP,No
2024-01-06 05:59:00,Router A,Downtime,CRITICAL,18.0,192.168.214.35,10.0.95.140,6202,udp,Yes
2024-01-28 18:28:00,Srv C,Downtime,med,18.0,192.168.203.182,10.0.166.2,6363,tcp,Yes
2024-01-03 07:50:00,Switch-B,Firmware Crash,LOW,,192.168.95.207,10.0.180.211,6501,Tcp,No
2024-02-14 06:51:00,Access_Point_Y,Hardware Failure,CRITICAL,78.0,192.168.75.77,10.0.139.58,6202,DNS,No
2024-01-01 03:05:00,DB_Z,DDoS Attack,high,144.0,192.168.173.173,10.0.62.227,4045,TLS,Yes
2024-02-02 05:22:00,Access_Point_Y,Hardware Failure,LOW,67.0,192.168.80.21,10.0.95.54,2251,DNS,No
2024-01-31 01:58:00,DB_Z,Hardware Failure,Severe,74.0,192.168.173.82,10.0.135.247,1176,icmp,Yes
2024-02-11 19:20:00,Srv C,Slow Network,critical,113.0,192.168.220.50,10.0.52.38,848,udp,No
2024-01-26 23:06:00,Router A,Slow Network,Severe,38.0,192.168.155.31,10.0.91.192,2226,Tcp,Yes
2024-01-25 13:14:00,Router A,Connection Lost,high,30.0,192.168.100.135,10.0.41.67,4583,tcp,No
2024-01-08 17:12:00,Router A,Packet Loss,CRITICAL,9.0,192.168.74.42,10.0.62.89,3658,tcp,Yes
2024-02-14 03:26:00,Srv C,DDoS Attack,low,43.0,192.168.31.10,10.0.226.139,4349,DNS,Yes
2024-02-02 21:26:00,Server_C,Hardware Failure,high,17.0,192.168.191.66,10.0.110.34,2343,udp,No
02/13/2024 04:21,Firewall X,Downtime,moderate,103.0,192.168.198.63,10.0.185.228,577,UDP,No
2024-01-19 07:54:00,Edge_Proxy,DDoS Attack,LOW,180.0,192.168.204.118,10.0.105.42,2515,Tcp,Yes
