Timestamp,Device_Name,Event_Type,Severity,Duration_Minutes,Source_IP,Destination_IP,Port_Number,Protocol,Resolved,issue_type
2024-01-30 19:40:00,access_point_y,connection lost,MEDIUM,49.0,192.168.237.90,10.0.129.255,3609,TLS,Yes,other
2024-01-27 22:56:00,firewall x,slow network,moderate,166.0,192.168.132.87,10.0.237.183,2230,QUIC,No,other
2024-02-06 19:00:00,db_z,firmware crash,critical,120.0,192.168.243.126,10.0.58.138,1682,tcp,Yes,other
2024-02-11 09:28:00,srv c,firmware crash,High,40.0,192.168.50.148,10.0.203.149,5976,tcp,No,other
2024-01-06 21:57:00,router a,slow network,LOW,133.0,192.168.68.238,10.0.83.33,6038,Tcp,Yes,other
2024-01-12 07:00:00,switch-b,downtime,high,93.0,192.168.255.192,10.0.196.198,7529,ICMP,Yes,other
2024-01-09 18:17:00,load_balancer_1,firmware crash,moderate,180.0,192.168.179.201,10.0.200.161,6115,Tcp,No,other
2024-01-05 03:34:00,db_z,ddos attack,CRITICAL,46.0,192.168.24.123,10.0.26.225,4879,icmp,No,other
2024-01-13 16:34:00,router a,firmware crash,high,71.0,192.168.31.70,10.0.89.232,2706,TLS,Yes,other
2024-02-17 21:10:00,server_c,slow network,LOW,123.0,192.168.76.59,10.0.142.228,3511,ICMP,No,other
2024-01-09 22:35:00,db_z,firmware crash,high,154.0,192.168.80.82,10.0.211.46,7028,Tcp,No,other
2024-02-04 21:04:00,firewall x,firmware crash,high,114.0,192.168.104.104,10.0.49.232,6995,Tcp,No,other
2024-02-13 04:21:00,firewall x,downtime,moderate,103.0,192.168.198.63,10.0.185.228,577,UDP,No,other
2024-02-15 12:57:00,srv c,unauthorized access,High,108.0,192.168.108.42,10.0.91.162,6720,TLS,No,security
2024-01-03 23:39:00,switch-b,high latency,High,40.0,192.168.107.237,10.0.69.255,967,tcp,Yes,performance
2024-01-01 16:29:00,server_c,slow network,low,130.0,192.168.24.159,10.0.220.61,3269,TLS,No,other
2024-01-04 16:29:00,router a,packet loss,critical,124.0,192.168.214.208,10.0.53.90,861,tcp,Yes,failure
2024-01-17 04:43:00,db_z,firmware crash,LOW,148.0,192.168.155.140,10.0.147.186,4600,UDP,Yes,other
2024-01-13 20:04:00,router a,firmware crash,CRITICAL,89.0,192.168.145.129,10.0.252.227,3951,Tcp,Yes,other
2024-01-26 13:25:00,router a,connection lost,MEDIUM,180.0,192.168.242.16,10.0.75.66,4234,ICMP,No,other
2024-02-08 19:54:00,edge_proxy,unauthorized access,Severe,26.0,192.168.17.41,10.0.80.53,6895,QUIC,Yes,security
